QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
slbcharyana.pnb.bank.in,49.50.64.18,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcharyana.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbcpunjab.pnb.bank.in,49.50.79.57,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcpunjab.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbctripura.pnb.bank.in,49.50.72.143,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbctripura.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbcuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
smartbanking.pnbindia.in,103.109.225.116,443,Domain,,,,,Unknown,—,,error,80.0,Critical
smbmbs.pnb.bank.in,103.109.224.14,443,Domain,,,,,Unknown,—,,error,80.0,Critical
soa.pnb.bank.in,103.109.227.46,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
stpcreditcard.pnb.bank.in,2001:df1:1580::224:68,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-29T10:51:09+00:00,ok,45.0,Moderate
stpcreditcard.pnbuat.bank.in,2001:df1:1580::225:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-19T04:21:06+00:00,ok,35.0,Moderate
svanidhi.dashboard.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
svanidhi.dashboard.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
svanidhi.pnb.bank.in,103.109.225.100,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,4096,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-23T05:01:02+00:00,ok,45.0,Moderate
svanidhi.pnbuat.bank.in,103.109.225.210,443,Domain,,,,,Unknown,—,,error,80.0,Critical
swiftcimplr.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
swiftcimplrdc.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
swiftcimplrdr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
tab.pnb.bank.in,103.109.225.113,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
test.pnbuat.bank.in,103.109.225.28,443,Ssl Certificate,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-29T23:59:59+00:00,ok,45.0,Moderate
testpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
tls13.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
tncorpmbs.pnb.bank.in,103.109.225.75,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-29T23:59:59+00:00,ok,45.0,Moderate
tnretmbs.pnb.bank.in,103.109.224.91,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-29T23:59:59+00:00,ok,45.0,Moderate
tractorexpress.pnb.bank.in,2001:df1:1580::224:11,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-28T08:01:02+00:00,ok,45.0,Moderate
tractorexpress.pnbuat.bank.in,2001:df1:1580::225:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-07T23:59:59+00:00,ok,35.0,Moderate
uat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uat2instaloans.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatckycr-admin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatckycr.pnbindia.in,103.109.224.55,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdepository.pnbindia.in,103.109.224.32,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdigidairykcc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdigigoldloan.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdigitalca-vcs.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdigitalca.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdigitaldairykcc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatdvl.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatedu.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uategodam.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatepay.netpnb.com,2001:df1:1580::224:6,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatibs.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatinstaloans.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatkccdigireview.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatkccrenewal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatonlinesb-mps.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatonlinesb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatonlinesb2.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatonlinevcs2.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
uatpnbcbdc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
udaan.pnb.bank.in,103.109.225.152,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-13T23:59:59+00:00,ok,45.0,Moderate
udaan.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
udaan.pnbuat.bank.in,103.109.224.133,443,Cdn Proxy,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-07-07T23:59:59+00:00,ok,45.0,Moderate
udaantest.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
upi.pnb.bank.in,103.109.224.129,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,45.0,Moderate
upi1.pnbuat.bank.in,103.109.225.35,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-15T23:59:59+00:00,ok,45.0,Moderate
upi2.pnbuat.bank.in,103.109.224.29,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-15T23:59:59+00:00,ok,45.0,Moderate
vlvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
wcw.pnb.bank.in,103.109.225.200,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-04T09:51:04+00:00,ok,45.0,Moderate
wcw.pnbuat.bank.in,103.109.224.58,443,Cdn Proxy,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-06T04:26:03+00:00,ok,45.0,Moderate
wcwapi.pnb.bank.in,103.109.225.200,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-04T09:51:04+00:00,ok,45.0,Moderate
wcwapi.pnbuat.bank.in,103.109.225.58,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-06T04:26:09+00:00,ok,45.0,Moderate
webapi.pnb.bank.in,103.109.225.236,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
webapps.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
weblens.pnb.bank.in,103.109.224.53,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-24T23:59:59+00:00,ok,45.0,Moderate
www.analytics.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.apipnbpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.ckycr-admin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.corpmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.corpmbs.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.depository.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.diginri.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.drm.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.eboard.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.eboard.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.hrms.pnb.bank.in,103.109.224.186,443,Ssl Certificate,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-25T23:59:59+00:00,ok,45.0,Moderate
www.ibanking.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.ibanking.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.instaloans.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.mtdapimbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.mtdapimbs.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.mtdappmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.mtdrelmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.mtdrelmbs.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.mtdstmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.mtdstmbs.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.netpnb.com,103.109.227.119,443,Web Application,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
www.onlinesb-mps.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.onlinesb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.pa.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.pnb.bank.in,49.50.72.184,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-10T23:59:59+00:00,ok,45.0,Moderate
www.pnbindia.in,49.50.72.206,443,Web Server,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-08T23:59:59+00:00,ok,48.0,Moderate
www.pnbpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.retmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.retmbs.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.secure.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.share.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.slbcbengal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.slbcchandigarh.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.slbcdataportal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.slbcdelhi.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.slbctripura.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.slbcuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.testpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.tncorpmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.tnretmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
www.uat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatckycr-admin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatckycr.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatdepository.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatinstaloans.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatkycr-admin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
www.uatonlinesb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical


